Row Labels,Count of ISSUE_DATE
2021/09/12 04:00:00+00,145
2021/09/06 04:00:00+00,156
2021/09/05 04:00:00+00,311
2021/09/19 04:00:00+00,455
2021/09/26 04:00:00+00,480
2021/09/11 04:00:00+00,1390
2021/09/25 04:00:00+00,1669
2021/09/18 04:00:00+00,1728
2021/09/04 04:00:00+00,1979
2021/09/13 04:00:00+00,3514
2021/09/07 04:00:00+00,3804
2021/09/17 04:00:00+00,4126
2021/09/10 04:00:00+00,4130
2021/09/20 04:00:00+00,4166
2021/09/03 04:00:00+00,4218
2021/09/01 04:00:00+00,4258
2021/09/16 04:00:00+00,4283
2021/09/14 04:00:00+00,4435
2021/09/27 04:00:00+00,4712
2021/09/09 04:00:00+00,4801
2021/09/15 04:00:00+00,4999
2021/09/08 04:00:00+00,5024
2021/09/24 04:00:00+00,5027
2021/09/30 04:00:00+00,5307
2021/09/21 04:00:00+00,5327
2021/09/02 04:00:00+00,5409
2021/09/23 04:00:00+00,5425
2021/09/28 04:00:00+00,5505
2021/09/22 04:00:00+00,5531
2021/09/29 04:00:00+00,5889
Grand Total,108203